Arabidopsis_thaliana_10.fa.bgz	Arabidopsis thaliana v10
Capsicum.annuum.L_Zunla-1_Release_2.0.fa.bgz	Capsicum annuum L_Zunla-1 v2.0
Capsicum.annuum.var.glabriusculum_Chiltepin_Release_2.0-genes.fa.bgz	Capsicum annuum var glabriusculum v2.0
Capsicum.annuum.var.glabriusculum_Chiltepin_Release_2.0.fa.bgz	Capsicum annuum var glabriusculum Chiltepin v2.0
Capsicum_annuum_UCD10X_v1.0.fa.bgz	Capsicum annuum UCD10X v1.0
Capsicum_chinense.v0.5.fa.bgz	Capsicum chinense v0.5
Coffea_canephora.fa.bgz	Coffea_canephora
Coffea_humblotiana.fa.bgz	Coffea humblotiana
Nicotiana_attenuata_v2.fa.bgz	Nicotiana attenuata v2
Nicotiana_benthamiana_v1.0.1.scaffolds.nrcontigs.fa.bgz	Nicotiana benthamiana v1.0.1
Nicotiana_otophora_AWOL01S.fa.bgz	Nicotiana otophora AWOL01S
Nicotiana_sylvestris_ASAF01.fa.bgz	Nicotiana sylvestris ASAF01
Nicotiana_tabacum_v4.5_genome_Scf_Edwards2017.fa.bgz	Nicotiana tabacum v4.5
Nicotiana_tomentosiformis.fa.bgz	Nicotiana tomentosiformis
Oryza_sativa_v5.00_masked.fa.bgz	Oryza sativa v5.0
Petunia_axillaris_v1.6.2_genome.fa.bgz	Petunia axillaris v1.6.2
Petunia_inflata_v1.0.1_genome.fa.bgz	Petunia inflata v1.0.1
Physalis_pruinosa-genome_v1.fa.bgz	Physalis pruinosa v1
Solanum_chilense.scaffolds.fa.bgz	Solanum chilense
Solanum_galapagense_LA0436.fa.bgz	Solanum galapagense LA0436
Solanum_lycopersicoides_LA2951_v1.0_chromosomes.fa.bgz	Solanum lycopersicoides LA2951 v1.0
Solanum_lycopersicoides_LA2951_v1.0_chromosomes_contigs.fa.bgz	Solanum lycopersicoides LA2951 ctgs v1.0
Solanum_lycopersicum_FLA1.3.fa.bgz	Solanum lycopersicum FLA v1.3
Solanum_lycopersicum_M82_1.3_genome.fa.bgz	Solanum lycopersicum M82 v1.3
Solanum_lycopersicum_cerasiforme_LA1673_r1.1.fa.bgz	Solanum lycopersicum cerasiforme LA1673 v1.1
Solanum_lycopersicum_chromosomes.4.00.fa.bgz	Solanum lycopersicum v4.00
Solanum_lycopersicum_scaffolds.1.00.fa.bgz	Solanum lycopersicum scfld v1.0
Solanum_melongena_HQ-1315_HQ-reference.fa.bgz	Solanum melongena HQ-1315
Solanum_melongena_r2.5.1.fa.bgz	Solanum melongena r2.5.1
Solanum_pennellii.fa.bgz:0.343847	Solanum pennellii
Solanum_pennellii_LYC1722_canu.fa.bgz	Solanum pennellii LYC1722
Solanum_pimpinellifolium_BGV006775_BGV1.3_genome.fa.bgz	Solanum pimpinellifolium BGV006775 v1.3
Solanum_pimpinellifolium_LA0480_scaffolds.abyss.77.fa.bgz	Solanum pimpinellifolium LA0480 77
Solanum_pimpinellifolium_LA1589_1.0_contigs.fa.bgz	Solanum pimpinellifolium LA1589 v1.0
Solanum_pimpinellifolium_LA1589_2020_v0.1_chromosomes.fa.bgz	Solanum pimpinellifolium LA1589 v0.1
Solanum_pimpinellifolium_LA1670_SPI_r1.1.pmol.fa.bgz	Solanum pimpinellifolium LA1670 v1.1
Solanum_pimpinellifolium_LA2093_v1.5.fa.bgz	Solanum pimpinellifolium LA2093 v1.5
Solanum_tuberosum_PGSC_DM_v3_superscaffolds.fa.bgz	Solanum tuberosum PGSC DM v3
Solanum_tuberosum_PGSC_DM_v4.03_pseudomolecules.fa.bgz	Solanum tuberosum PGSC DM v4.03
Vitis_vinifera_Genoscope_12X_2010_02_12_chr.fa.bgz	Vitis vinifera Genoscope 12X
